Date,Open,High,Low,Close,Adj Close,Volume,VIX Close,10-year bond price, nasdaq Close,dow close,r2000 Close
9/10/1990,323.420013,326.529999,320.309998,321.630005,321.630005,119730000,29.34,8.85,381.700012,2615.590088,140.330002
9/11/1990,321.630005,322.179993,319.600006,321.040009,321.040009,113220000,28.379999,8.83,379.5,2612.620117,139.779999
9/12/1990,321.040009,322.549988,319.600006,322.540009,322.540009,129890000,28.120001,8.82,380.299988,2625.73999,139.889999
9/13/1990,322.51001,322.51001,318.019989,318.649994,318.649994,123390000,29.33,8.82,376.200012,2582.669922,138.710007
9/14/1990,318.649994,318.649994,314.76001,316.829987,316.829987,133390000,30.559999,8.87,374.399994,2564.110107,137.889999
9/17/1990,316.829987,318.049988,315.209991,317.769989,317.769989,110600000,29.549999,8.9,374.100006,2567.330078,137.470001
9/18/1990,317.769989,318.850006,314.269989,318.600006,318.600006,141130000,28.82,8.9,372.200012,2571.290039,136.899994
9/19/1990,318.600006,319.350006,316.25,316.600006,316.600006,147530000,27.879999,8.88,371.700012,2557.429932,136.770004
9/20/1990,316.600006,316.600006,310.549988,311.480011,311.480011,145100000,28.66,8.91,364.399994,2518.320068,134.710007
9/21/1990,311.529999,312.170013,307.980011,311.320007,311.320007,201050000,30.040001,8.99,362.299988,2512.379883,133.740005
9/24/1990,311.299988,311.299988,303.579987,304.589996,304.589996,164070000,30.559999,9.04,352.200012,2452.969971,130.369995
9/25/1990,305.459991,308.269989,304.230011,308.26001,308.26001,155940000,28.809999,9.02,354.799988,2485.639893,130.520004
9/26/1990,308.26001,308.279999,303.049988,305.059998,305.059998,155570000,28.190001,9,350,2459.649902,128.649994
9/27/1990,305.059998,307.470001,299.100006,300.970001,300.970001,182690000,28.67,8.91,341.200012,2427.47998,126.18
9/28/1990,300.970001,306.049988,295.980011,306.049988,306.049988,201010000,29.110001,8.82,344.5,2452.47998,126.699997
10/1/1990,306.100006,314.940002,306.100006,314.940002,314.940002,202210000,28.059999,8.71,354.700012,2515.840088,128.419998
10/2/1990,314.940002,319.690002,314.940002,315.209991,315.209991,188360000,27.280001,8.69,356.399994,2505.199951,129.059998
10/3/1990,315.209991,316.26001,310.700012,311.399994,311.399994,135490000,27.9,8.71,351.5,2489.360107,128.059998
10/4/1990,311.399994,313.399994,308.589996,312.690002,312.690002,145410000,27.51,8.67,349.899994,2516.830078,127.720001
10/5/1990,312.690002,314.790009,305.76001,311.5,311.5,153380000,27.85,8.65,347.399994,2510.639893,126.839996
10/8/1990,311.5,315.029999,311.5,313.480011,313.480011,99470000,28.040001,8.65,348.100006,2523.76001,126.910004
10/9/1990,313.459991,313.459991,305.089996,305.100006,305.100006,145610000,30.709999,8.83,339.100006,2445.540039,124.339996
10/10/1990,305.089996,306.429993,299.209991,300.390015,300.390015,169190000,31.190001,8.89,333.299988,2407.919922,122.779999
10/11/1990,300.390015,301.450012,294.51001,295.459991,295.459991,180060000,33.98,8.92,325.600006,2365.100098,120.019997
10/12/1990,295.450012,301.679993,295.220001,300.029999,300.029999,187940000,31.940001,8.84,327.600006,2398.02002,120.379997
10/15/1990,300.029999,304.790009,296.410004,303.230011,303.230011,164980000,31.639999,8.8,329.5,2416.340088,120.440002
10/16/1990,303.230011,304.339996,298.119995,298.920013,298.920013,149570000,31.450001,8.79,325.399994,2381.189941,119.32
10/17/1990,298.920013,301.5,297.790009,298.76001,298.76001,161260000,31.370001,8.76,326.799988,2387.870117,119.480003
10/18/1990,298.75,305.73999,298.75,305.73999,305.73999,204110000,29.6,8.71,334,2452.719971,120.959999
10/19/1990,305.73999,312.480011,305.73999,312.480011,312.480011,221480000,27.860001,8.62,337.399994,2520.790039,122.120003
10/22/1990,312.480011,315.829987,310.470001,314.76001,314.76001,152650000,27.27,8.63,341.100006,2516.090088,121.599998
10/23/1990,314.76001,315.059998,312.059998,312.359985,312.359985,146300000,27.57,8.65,341.100006,2494.060059,122.279999
10/24/1990,312.359985,313.51001,310.73999,312.600006,312.600006,149290000,28.280001,8.66,341,2504.209961,122.25
10/25/1990,312.600006,313.709991,309.700012,310.170013,310.170013,141460000,29.040001,8.62,339.700012,2484.409912,122.389999
10/26/1990,310.170013,310.170013,304.709991,304.709991,304.709991,130190000,30.75,8.63,334.399994,2436.139893,120.860001
10/29/1990,304.73999,307.410004,300.690002,301.880005,301.880005,133980000,31.540001,8.7,330.799988,2430.199951,119.690002
10/30/1990,301.880005,304.359985,299.440002,304.059998,304.059998,153450000,30.52,8.7,329.799988,2448.02002,118.82
10/31/1990,304.059998,305.700012,302.329987,304,304,156060000,30.040001,8.65,329.799988,2442.330078,118.830002
11/1/1990,303.98999,307.269989,301.609985,307.019989,307.019989,159270000,30.25,8.57,330.600006,2454.949951,118.910004
11/2/1990,307.019989,311.940002,306.880005,311.850006,311.850006,168700000,30.030001,8.57,336.5,2490.840088,120.360001
11/5/1990,311.850006,314.609985,311.410004,314.589996,314.589996,147510000,29.85,8.5,340.799988,2502.22998,121.290001
11/6/1990,314.589996,314.76001,311.429993,311.619995,311.619995,142660000,29.110001,8.52,340.5,2485.149902,121.300003
11/7/1990,311.619995,311.619995,305.790009,306.01001,306.01001,149130000,30.870001,8.57,336.799988,2440.840088,120.349998
11/8/1990,306.01001,309.769989,305.029999,307.609985,307.609985,155570000,30.790001,8.58,336.399994,2443.810059,120.160004
11/9/1990,307.609985,313.779999,307.609985,313.73999,313.73999,145160000,26.959999,8.49,342,2488.610107,121.300003
11/12/1990,313.73999,319.769989,313.730011,319.480011,319.480011,161390000,25.6,8.49,351.5,2540.350098,123.230003
11/13/1990,319.480011,319.480011,317.26001,317.670013,317.670013,160240000,24.58,8.37,352.899994,2535.399902,123.650002
11/14/1990,317.660004,321.700012,317.230011,320.399994,320.399994,179310000,22.889999,8.36,356.899994,2559.649902,124.739998
11/15/1990,320.399994,320.399994,316.130005,317.019989,317.019989,151370000,22.57,8.37,354.5,2545.050049,124.309998
11/16/1990,317.019989,318.799988,314.98999,317.119995,317.119995,165440000,21.34,8.3,350.899994,2550.25,124.25
11/19/1990,317.149994,319.390015,317.149994,319.339996,319.339996,140950000,20.950001,8.35,352.700012,2565.350098,124.730003
11/20/1990,319.339996,319.339996,315.309998,315.309998,315.309998,161170000,20.09,8.31,348.299988,2530.199951,124.129997
11/21/1990,315.309998,316.149994,312.420013,316.029999,316.029999,140660000,21.09,8.27,348.799988,2539.360107,124.029999
11/23/1990,316.029999,317.299988,315.059998,315.100006,315.100006,63350000,20.98,8.28,349,2527.22998,124.260002
11/26/1990,315.079987,316.51001,311.480011,316.51001,316.51001,131540000,22.76,8.27,348.899994,2533.169922,123.989998
11/27/1990,316.51001,318.690002,315.799988,318.100006,318.100006,147590000,22.860001,8.28,354.100006,2543.810059,125.239998
11/28/1990,318.109985,319.959991,317.619995,317.950012,317.950012,145490000,22.959999,8.3,355.100006,2535.149902,125.989998
11/29/1990,317.950012,317.950012,315.029999,316.420013,316.420013,140920000,23.91,8.32,355.799988,2518.810059,126.099998
11/30/1990,316.420013,323.019989,315.420013,322.220001,322.220001,192350000,22.16,8.26,359.100006,2559.649902,127.510002
12/3/1990,322.230011,324.899994,322.230011,324.100006,324.100006,177000000,22.290001,8.22,361.299988,2565.590088,128.149994
12/4/1990,324.109985,326.769989,321.970001,326.350006,326.350006,185820000,22.030001,8.2,364.100006,2579.699951,128.729996
12/5/1990,326.359985,329.920013,325.660004,329.920013,329.920013,205820000,20.940001,8.16,370.899994,2610.399902,130.699997
12/6/1990,329.940002,333.980011,328.369995,329.070007,329.070007,256380000,22.620001,8.18,372.299988,2602.47998,131.130005
12/7/1990,329.089996,329.390015,326.390015,327.75,327.75,164950000,22.59,8.03,371.5,2590.100098,130.949997
12/10/1990,327.75,328.970001,326.149994,328.890015,328.890015,138650000,23.58,7.98,371.5,2596.780029,130.699997
12/11/1990,328.880005,328.880005,325.649994,326.440002,326.440002,145330000,23.75,7.94,368,2586.139893,129.869995
12/12/1990,326.440002,330.359985,326.440002,330.190002,330.190002,182270000,21.280001,7.91,370.399994,2622.280029,130.570007
12/13/1990,330.140015,330.579987,328.769989,329.339996,329.339996,162110000,23.049999,7.98,371.5,2614.360107,130.949997
12/14/1990,329.339996,329.339996,325.160004,326.820007,326.820007,151010000,23.85,8.05,368.799988,2593.810059,130.169998
12/17/1990,326.820007,326.820007,324.459991,326.019989,326.019989,118560000,24.85,8.02,365.700012,2593.320068,129.119995
12/18/1990,326.019989,330.429993,325.75,330.049988,330.049988,176460000,23.110001,7.99,370.200012,2626.72998,129.949997
